"","Gene","kTotal"
"LOC100576758","LOC100576758",60.3589516004749
"LOC100576759","LOC100576759",48.6256050505515
"LOC100576760","LOC100576760",12.6050476477039
"LOC100576761","LOC100576761",283.594899871297
"LOC100576762","LOC100576762",58.350176196972
"LOC100576765","LOC100576765",7.36633818367285
"LOC100576767","LOC100576767",7.86700977792676
"LOC100576768","LOC100576768",48.2391837034492
"LOC100576769","LOC100576769",13.6740731434293
"LOC100576770","LOC100576770",20.087460643429
"LOC100576772","LOC100576772",5.09767881030171
"LOC100576773","LOC100576773",59.9528274542593
"LOC100576774","LOC100576774",13.0845650213554
"LOC100576775","LOC100576775",218.945824672631
"LOC100576779","LOC100576779",419.679420003166
"LOC100576781","LOC100576781",365.691052099957
"LOC100576783","LOC100576783",2.27032828498756
"LOC100576784","LOC100576784",144.27586353116
"LOC100576789","LOC100576789",113.717311355655
"LOC100576794","LOC100576794",230.656797633493
"LOC100576795","LOC100576795",39.4386078172401
"LOC100576796","LOC100576796",37.3889646564357
"LOC100576797","LOC100576797",22.5402107380771
"LOC100576799","LOC100576799",4.65848296347414
"LOC100576801","LOC100576801",218.526105090342
"LOC100576803","LOC100576803",8.76531551474027
"LOC100576805","LOC100576805",40.4413579424338
"LOC100576807","LOC100576807",233.228994313449
"LOC100576808","LOC100576808",380.821469150923
"LOC100576811","LOC100576811",21.0493013915246
"LOC100576812","LOC100576812",113.275608063984
"LOC100576813","LOC100576813",166.272144620037
"LOC100576814","LOC100576814",48.9840594486279
"LOC100576816","LOC100576816",9.91781432497881
"LOC100576817","LOC100576817",143.526352611562
"LOC100576818","LOC100576818",35.8160920111688
"LOC100576819","LOC100576819",23.6922411079739
"LOC100576820","LOC100576820",7.91521560477082
"LOC100576825","LOC100576825",56.4080210842609
"LOC100576826","LOC100576826",21.6313808138091
"LOC100576828","LOC100576828",311.585258771347
"LOC100576829","LOC100576829",55.8853273819765
"LOC100576830","LOC100576830",5.1681013253759
"LOC100576831","LOC100576831",146.974752928664
"LOC100576833","LOC100576833",40.3541597682297
"LOC100576834","LOC100576834",232.470082227134
"LOC100576835","LOC100576835",41.0053559966806
"LOC100576836","LOC100576836",216.622087711011
"LOC100576837","LOC100576837",30.8416405697184
"LOC100576838","LOC100576838",193.759785167912
"LOC100576839","LOC100576839",57.8100655403047
"LOC100576840","LOC100576840",8.01030456450152
"LOC100576841","LOC100576841",21.8594055453528
"LOC100576843","LOC100576843",454.035572497554
"LOC100576847","LOC100576847",382.427022207047
"LOC100576848","LOC100576848",146.014857386462
"LOC100576849","LOC100576849",4.60352651969869
"LOC100576850","LOC100576850",43.0539584272002
"LOC100576851","LOC100576851",40.2700568150754
"LOC100576853","LOC100576853",36.5625145226017
"LOC100576855","LOC100576855",32.3628469007971
"LOC100576859","LOC100576859",16.4710209358682
