"","Gene","tau"
"LOC107964837","LOC107964837",0.92223439211391
"LOC107964830","LOC107964830",0.96963501182832
"LOC107964831","LOC107964831",0.870235886562417
"LOC107964832","LOC107964832",0.833159463487332
"LOC107964833","LOC107964833",0.570031619034309
"LOC107964838","LOC107964838",0.904022811537312
"LOC107964839","LOC107964839",0.507041147258539
"LOC100576503","LOC100576503",0.795485549444624
"LOC725816","LOC725816",0.679880995956746
"LOC725817","LOC725817",0.636851504058324
"LOC725811","LOC725811",0.454707509488074
"LOC725812","LOC725812",0.23605708326626
"LOC725813","LOC725813",0.697670466948463
"CSP6","CSP6",0.934442130491293
"CSP4","CSP4",0.995631717003821
"CSP2","CSP2",0.844047973421599
"CSP3","CSP3",0.751988146291297
"CSP1","CSP1",0.973222822078843
"LOC107965784","LOC107965784",0.47513525004193
"LOC107965787","LOC107965787",0.939738826443431
"LOC107965786","LOC107965786",0.936437546193644
"LOC107965781","LOC107965781",0.710811028052407
"LOC107965780","LOC107965780",0.997655321733161
"LOC107965783","LOC107965783",0.525208422250676
"Chmp1","Chmp1",0.4401591096201
"LOC107965788","LOC107965788",0.639023377561152
"LOC724365","LOC724365",0.483269261879827
"LOC724496","LOC724496",0.792232243751231
"LOC724367","LOC724367",0.901102208746507
"LOC724366","LOC724366",0.606058701337116
"LOC724361","LOC724361",0.534992669853244
"LOC100578799","LOC100578799",0.861580596442982
"LOC100578798","LOC100578798",0.877870813397129
"LOC100578797","LOC100578797",0.651785651143878
"LOC100578793","LOC100578793",0.726190113323391
"LOC551703","LOC551703",0.515996386677015
"LOC100578791","LOC100578791",0.928048402109836
"LOC100578790","LOC100578790",0.930942073799217
"LOC107964780","LOC107964780",0.915113905007522
"LOC107964781","LOC107964781",0.916795069337442
"LOC102655282","LOC102655282",0.726780768117739
"LOC551705","LOC551705",0.723298072894847
"LOC107964788","LOC107964788",0.650171098742527
"LOC107964789","LOC107964789",0.857664233576642
"LOC102655281","LOC102655281",0.88065164923572
"LOC551704","LOC551704",0.873586117702936
"LOC102655280","LOC102655280",0.992200023179723
"LOC102655287","LOC102655287",0.738729329852045
"LOC102655934","LOC102655934",0.744229529335912
"LOC102656251","LOC102656251",0.882270119937424
"LOC102656250","LOC102656250",0.82582698493313
"LOC107965871","LOC107965871",1
"LOC102656252","LOC102656252",0.86949161949162
"LOC102656255","LOC102656255",0.903672486453943
"LOC102656254","LOC102656254",0.963563900708397
"LOC102656256","LOC102656256",0.939835351782086
"LOC102656259","LOC102656259",0.885248617376456
"LOC102656258","LOC102656258",0.52601229610277
"LOC412169","LOC412169",0.399387188979949
"LOC724896","LOC724896",0.419329635299217
"LOC413697","LOC413697",0.904014614685832
"LOC413880","LOC413880",0.479218431072382
"LOC413692","LOC413692",0.530779569892473
"LOC413693","LOC413693",0.813695235487404
"LOC413690","LOC413690",0.506129213814046
"LOC413691","LOC413691",0.745214109626564
"LOC413698","LOC413698",0.974445796768196
"LOC413699","LOC413699",0.930346343768212
"LOC100577704","LOC100577704",0.832706574819702
"LOC413884","LOC413884",0.277070975823658
"LOC100577707","LOC100577707",0.60224536737074
"LOC412602","LOC412602",0.440138649939009
"LOC412349","LOC412349",0.443641123095911
"LOC412348","LOC412348",0.399920471248102
"LOC412343","LOC412343",0.514129422826626
"LOC412342","LOC412342",0.320816386112678
"LOC412341","LOC412341",0.44874795286928
"LOC100576657","LOC100576657",0.665018021625951
"LOC100576650","LOC100576650",0.697361675372412
"LOC412346","LOC412346",0.492493056516233
"LOC412345","LOC412345",0.231702621433711
"LOC408960","LOC408960",0.830308412724043
"LOC408961","LOC408961",0.927079845805984
"LOC408963","LOC408963",0.699044315472699
"LOC408964","LOC408964",0.621963023344406
"LOC107965703","LOC107965703",0.951623970499051
"LOC408966","LOC408966",0.465217069461733
"LOC408967","LOC408967",0.493264982343609
"LOC408968","LOC408968",0.919599332718077
"LOC408969","LOC408969",0.919879756807282
"LOC107965702","LOC107965702",0.875066454013822
"LOC412607","LOC412607",0.465088954211636
"LOC725366","LOC725366",0.794651174962056
"LOC412034","LOC412034",0.679094572669702
"LOC552539","LOC552539",0.515742826230219
"LOC725365","LOC725365",0.560900544071088
"LOC725362","LOC725362",0.538751303550881
"LOC725363","LOC725363",0.902433395711483
"LOC725360","LOC725360",0.806456095344984
"LOC725361","LOC725361",0.581401996504636
"LOC552533","LOC552533",0.291975928941867
"LOC552532","LOC552532",0.388912950715963
"LOC552531","LOC552531",0.499148339615913
"LOC552530","LOC552530",0.805042829510915
"LOC552536","LOC552536",0.561294354792778
"LOC552535","LOC552535",0.566171088355022
"LOC552534","LOC552534",0.383407907524359
"LOC107965906","LOC107965906",0.580865800865801
"LOC724977","LOC724977",0.326003807311523
"LOC551848","LOC551848",0.824615464861544
"LOC551849","LOC551849",0.664398245380094
"LOC551842","LOC551842",0.897991721063525
"LOC551843","LOC551843",0.572870159163949
"LOC410061","LOC410061",0.788833913557541
"LOC551841","LOC551841",0.354727802453038
"LOC551846","LOC551846",0.477575292091421
"LOC551847","LOC551847",0.679276519638913
"LOC551844","LOC551844",0.44100359407347
"LOC551845","LOC551845",0.989379131138993
"LOC100577019","LOC100577019",0.817543727571583
"LOC100577018","LOC100577018",0.925924863779753
"LOC100577015","LOC100577015",0.807678753133299
"LOC100577014","LOC100577014",0.474462487377528
"LOC100577017","LOC100577017",0.881055661049134
"LOC102655626","LOC102655626",0.736167739879463
"LOC102655621","LOC102655621",0.825157232704402
"LOC100577013","LOC100577013",0.790105601469238
"LOC102655622","LOC102655622",0.984942361498179
"LOC100576225","LOC100576225",0.901178984776449
"LOC100576224","LOC100576224",0.682192032052367
"LOC100576227","LOC100576227",0.604674220963173
"LOC100576226","LOC100576226",0.643666711738105
"LOC100576221","LOC100576221",0.452356183526124
"LOC100576220","LOC100576220",0.922389181066867
"LOC100576223","LOC100576223",0.322829003042907
"LOC100576222","LOC100576222",0.936637810341609
"LOC409108","LOC409108",0.774733591361148
"LOC552168","LOC552168",0.866365374587172
"LOC412031","LOC412031",0.641743850396997
"LOC552169","LOC552169",0.604220108485511
"LOC413438","LOC413438",0.450833651182712
"LOC413439","LOC413439",0.787847956521163
"LOC100577727","LOC100577727",0.721436743407838
"LOC412423","LOC412423",0.465768590198558
"LOC413344","LOC413344",0.499012567324955
"LOC413345","LOC413345",0.545878250969509
"LOC413346","LOC413346",0.73304021984652
"LOC413340","LOC413340",0.911852707459087
"LOC412420","LOC412420",0.614049463871005
"LOC413343","LOC413343",0.553317875376259
"LOC727471","LOC727471",0.344817155512343
"LOC412426","LOC412426",0.839812913769065
"LOC552372","LOC552372",0.38399179662013
"LOC102656827","LOC102656827",0.850028373623879
"LOC102656824","LOC102656824",0.575396825396825
"LOC102656822","LOC102656822",0.888576355971519
"LOC102656823","LOC102656823",0.840396927016645
"LOC102656820","LOC102656820",0.782343282888521
"LOC102656821","LOC102656821",0.995609056849397
"LOC102656828","LOC102656828",0.54256885558404
"LOC410821","LOC410821",0.819653586899509
"LOC411519","LOC411519",0.997947983927533
"LOC410823","LOC410823",0.866290357405669
"LOC726631","LOC726631",0.550043455387205
"LOC100187599","LOC100187599",0.870400602424178
"LOC726189","LOC726189",0.962165459258804
"LOC726188","LOC726188",0.861745204193397
"LOC726187","LOC726187",0.824027750733551
"LOC726638","LOC726638",0.686264677604124
"LOC726185","LOC726185",0.86993006993007
"LOC726184","LOC726184",0.314833570668217
"LOC726180","LOC726180",0.950433857429956
"Or130","Or130",0.871597222222222
"Or131","Or131",0.965778807180081
"LOC726323","LOC726323",0.788867005903122
"LOC107965275","LOC107965275",0.889931056597723
"LOC107965274","LOC107965274",0.905240515178403
"LOC107965277","LOC107965277",0.605272984805563
"LOC107965276","LOC107965276",0.840117593848937
"LOC107965271","LOC107965271",0.62034131349078
"LOC107965270","LOC107965270",0.731780381780382
"LOC107965273","LOC107965273",0.92015194035774
"LOC107965272","LOC107965272",0.923144728814103
"LOC107965279","LOC107965279",0.998414963116771
"LOC107965278","LOC107965278",0.812372573662896
"LOC107964005","LOC107964005",0.800473763180071
"LOC107964004","LOC107964004",0.898863636363636
"LOC107964007","LOC107964007",0.811177644710579
"LOC107964006","LOC107964006",0.982390168195803
"LOC107964001","LOC107964001",0.951887684181262
"LOC107964000","LOC107964000",0.638852420941973
"LOC107964003","LOC107964003",0.698228782287823
"Ndufs5","Ndufs5",0.777789470167324
"LOC107964009","LOC107964009",0.565101565101565
"LOC107964008","LOC107964008",0.912477897689165
"LOC726455","LOC726455",0.807363581959632
"LOC726457","LOC726457",0.986962054239745
"LOC726456","LOC726456",0.741886422741097
"LOC726451","LOC726451",0.9717851871147
"LOC726450","LOC726450",0.763903161952042
"LOC726453","LOC726453",0.875154792648929
"LOC725291","LOC725291",0.360398505603985
"LOC726459","LOC726459",0.860400291904437
"LOC725914","LOC725914",0.655179469192096
"LOC726989","LOC726989",0.474555452900156
"LOC102654284","LOC102654284",0.819333964646465
"LOC102654285","LOC102654285",0.813576162468567
"LOC102654286","LOC102654286",0.987946981334078
"LOC102654287","LOC102654287",0.982173486890468
"LOC102654281","LOC102654281",0.871945404160369
"LOC102654282","LOC102654282",0.508054102455347
"LOC102653832","LOC102653832",0.940381813242449
"LOC102653830","LOC102653830",0.908252869375114
"LOC102654289","LOC102654289",0.826474418889723
"LOC102653834","LOC102653834",0.811690177638453
"LOC102653835","LOC102653835",0.881818181818182
"LOC408368","LOC408368",0.654682954766212
"LOC408369","LOC408369",0.795338593861277
"LOC725480","LOC725480",0.823764561155504
"LOC408362","LOC408362",0.965270329255278
"BBIP1","BBIP1",0.485395639643551
"LOC408361","LOC408361",0.847321471110448
"LOC408367","LOC408367",0.911854104425086
"LOC408364","LOC408364",0.841713742802852
"LOC408365","LOC408365",0.730040619720335
"LOC409378","LOC409378",0.814327932909669
"LOC409379","LOC409379",0.261951762296067
"LOC409373","LOC409373",0.277355493448576
"LOC409370","LOC409370",0.703483226529076
"LOC409371","LOC409371",0.925972158212477
"LOC409377","LOC409377",0.418077279452266
"LOC552102","LOC552102",0.44781568214541
"LOC410851","LOC410851",0.500053516037768
"LOC410850","LOC410850",0.76102022977023
"LOC410853","LOC410853",0.915861191860465
"LOC410852","LOC410852",0.891472956725809
