"","head.bee","gaster.bee","mesosoma.bee","head.ant","gaster.ant","mesosoma.ant","head.overlap","gaster.overlap","mesosoma.overlap"
"491",0,1,121,0,0,0,0,0,0
"492",11,0,7,6,1,35,0,0,0
"493",0,457,0,0,0,0,0,0,0
"494",0,2,16,0,8,0,0,0,0
"495",0,0,4,0,36,0,0,0,0
"496",8,0,0,4,0,0,0,0,0
"497",3,0,5,1,7,0,0,0,0
"498",25,9,0,1,35,94,0,0,0
"499",5,7,0,0,0,0,0,0,0
"500",0,1,0,0,9,0,0,0,0
"501",0,0,0,0,105,0,0,0,0
"502",18,0,1,154,0,0,0,0,0
"503",0,0,7,0,15,34,0,0,0
"504",0,0,0,0,0,0,0,0,0
"505",0,0,0,2,0,0,0,0,0
"506",3,0,0,0,0,14,0,0,0
"507",0,0,0,38,0,0,0,0,0
"508",32,0,0,0,0,0,0,0,0
"509",0,2,0,17,0,0,0,0,0
"510",0,1,17,1,0,0,0,0,0
"511",0,0,1,3,316,1,0,0,0
"512",0,0,31,2,0,0,0,0,0
"513",0,0,6,3,0,0,0,0,0
"514",17,0,0,0,1,47,0,0,0
"515",0,0,0,15,0,0,0,0,0
"516",100,255,0,9,0,31,0,0,0
"517",2,226,0,2,6,0,0,0,0
"518",0,412,0,0,105,166,0,22,0
"519",0,0,1,0,0,60,0,0,0
"520",12,0,1,0,0,0,0,0,0
"521",0,0,0,0,0,0,0,0,0
"522",0,0,40,0,13,121,0,0,0
"523",0,6,171,0,0,244,0,0,5
"524",0,0,6,0,0,1,0,0,0
"525",0,2,0,3,0,49,0,0,0
"526",33,0,0,10,1,0,0,0,0
"527",0,1,0,0,19,67,0,0,0
"528",0,0,1,1,2,0,0,0,0
"529",2,0,0,1,0,0,0,0,0
"530",0,1,1,154,0,15,0,0,0
"531",0,0,0,0,0,0,0,0,0
"532",24,3,0,0,0,31,0,0,0
"533",0,0,1,2,9,0,0,0,0
"534",15,472,0,0,12,3,0,2,0
"535",0,0,0,0,0,4,0,0,0
"536",0,20,0,7,2,0,0,0,0
"537",0,0,0,3,0,47,0,0,0
"538",0,218,0,0,0,0,0,0,0
"539",140,0,2,0,382,200,0,0,0
"540",0,1,9,0,238,0,0,0,0
"541",17,278,0,14,0,32,0,0,0
"542",0,0,4,0,2,32,0,0,0
"543",0,1,0,2,0,0,0,0,0
"544",30,0,0,1,96,0,0,0,0
"545",0,2,63,2,0,67,0,0,2
"546",1,0,3,0,231,2,0,0,0
"547",18,0,0,2,0,61,0,0,0
"548",0,0,0,1,7,0,0,0,0
"549",0,5,6,0,0,0,0,0,0
"550",0,0,141,0,0,0,0,0,0
"551",0,0,0,6,0,176,0,0,0
"552",3,2,0,10,25,58,0,0,0
"553",0,0,2,1,0,38,0,0,0
"554",0,0,1,75,0,18,0,0,0
"555",100,9,0,12,0,0,0,0,0
"556",0,0,0,1,6,0,0,0,0
"557",0,0,0,32,0,0,0,0,0
"558",0,0,0,0,0,17,0,0,0
"559",144,278,0,1,0,53,0,0,0
"560",0,0,0,0,15,55,0,0,0
"561",6,3,0,17,0,17,0,0,0
"562",38,1,0,1,0,0,0,0,0
"563",0,265,0,0,2,0,0,0,0
"564",0,218,12,0,0,0,0,0,0
"565",1,0,0,12,0,0,0,0,0
"566",0,301,108,0,1,0,0,0,0
"567",3,0,34,0,1,0,0,0,0
"568",0,2,0,3,13,0,0,0,0
"569",3,336,0,13,0,94,0,0,0
"570",35,1,36,0,0,0,0,0,0
"571",18,308,0,0,6,0,0,0,0
"572",44,0,0,154,2,4,2,0,0
"573",3,0,0,2,0,0,0,0,0
"574",0,265,26,9,0,0,0,0,0
"575",17,0,0,0,0,37,0,0,0
"576",0,0,2,1,0,94,0,0,0
"577",17,4,0,0,0,15,0,0,0
"578",0,4,11,1,96,0,0,0,0
"579",100,0,18,7,0,0,1,0,0
"580",0,0,0,15,0,20,0,0,0
"581",0,385,9,25,2,0,0,0,0
"582",79,732,1,44,0,38,0,0,0
"583",0,0,0,0,0,0,0,0,0
"584",0,0,0,1,5,24,0,0,0
"585",8,388,0,95,0,39,0,0,0
"586",0,0,5,0,0,0,0,0,0
"587",48,2,0,0,0,0,0,0,0
"588",16,7,0,0,0,0,0,0,0
"589",0,0,0,0,0,0,0,0,0
"590",1,0,52,1,0,0,0,0,0
"591",0,1,0,0,0,23,0,0,0
"592",0,0,1,0,0,37,0,0,0
"593",13,0,17,0,0,3,0,0,0
"594",0,548,0,0,3,0,0,1,0
"595",0,2,35,0,25,75,0,0,0
"596",0,386,355,1,0,0,0,0,0
"597",0,229,18,1,0,0,0,0,0
"598",28,4,0,0,169,44,0,0,0
"599",0,572,0,40,0,35,0,0,0
"600",20,12,127,178,0,1,1,0,0
"601",25,51,0,9,14,0,0,0,0
"602",0,218,0,2,2,0,0,0,0
"603",0,0,0,0,0,195,0,0,0
"604",0,0,0,0,0,53,0,0,0
"605",13,637,0,13,2,0,0,0,0
"606",0,0,0,5,0,8,0,0,0
"607",0,0,0,1,0,200,0,0,0
