"","head.bee","gaster.bee","mesosoma.bee","head.ant","gaster.ant","mesosoma.ant","head.overlap","gaster.overlap","mesosoma.overlap"
"473",38,0,0,8,2,102,0,0,0
"474",0,0,0,0,19,102,0,0,0
"475",347,0,0,140,1,0,17,0,0
"476",0,0,0,0,0,0,0,0,0
"477",38,0,3,0,0,102,0,0,0
"478",2,699,0,7,6,0,0,0,0
"479",0,0,0,0,1,0,0,0,0
"480",0,0,0,0,2,0,0,0,0
"481",38,4,3,0,19,0,0,0,0
"482",0,0,3,143,206,168,0,0,0
"483",0,0,0,0,0,0,0,0,0
"484",38,4,0,8,2,102,0,0,0
"485",38,0,0,0,2,102,0,0,0
"486",0,0,0,8,2,1,0,0,0
"487",38,0,3,8,1,0,0,0,0
"488",347,0,0,0,19,0,0,0,0
"489",2,699,0,143,2,1,0,2,0
"490",38,0,3,0,1,102,0,0,0
"491",38,0,0,140,19,102,1,0,0
"492",2,0,0,0,6,102,0,0,0
"493",2,0,0,143,19,102,0,0,0
"494",0,0,0,8,19,0,0,0,0
"495",0,0,871,7,19,1,0,0,0
"496",1,4,0,2,2,0,0,0,0
"497",38,0,0,0,19,168,0,0,0
"498",1,0,0,2,1,102,0,0,0
"499",2,0,0,2,0,102,0,0,0
"500",2,0,0,8,1,0,0,0,0
"501",0,0,0,2,0,0,0,0,0
"502",38,0,0,140,206,102,1,0,0
"503",2,0,0,2,2,0,0,0,0
"504",1,0,0,0,0,1,0,0,0
"505",0,4,0,0,19,1,0,0,0
"506",0,0,0,7,206,168,0,0,0
"507",2,0,871,2,0,0,0,0,0
"508",0,0,3,0,1,0,0,0,0
"509",2,0,0,0,1,0,0,0,0
"510",0,0,0,8,19,0,0,0,0
"511",2,0,3,7,19,0,0,0,0
"512",1,0,3,0,0,0,0,0,0
"513",38,4,0,0,2,0,0,0,0
"514",2,0,0,7,1,168,0,0,0
"515",0,4,0,8,19,1,0,0,0
"516",38,0,0,0,19,1,0,0,0
"517",38,0,3,0,19,102,0,0,0
"518",2,699,0,0,0,0,0,0,0
"519",1,0,3,0,19,102,0,0,0
"520",0,0,0,0,1,0,0,0,0
"521",0,4,3,0,2,102,0,0,0
"522",0,4,0,7,0,0,0,0,0
"523",2,0,0,8,6,0,0,0,0
"524",0,699,3,8,2,0,0,2,0
"525",347,0,0,143,1,0,16,0,0
"526",347,0,0,2,19,0,0,0,0
"527",0,0,0,2,2,0,0,0,0
"528",0,0,0,2,206,0,0,0,0
"529",2,0,0,8,0,0,0,0,0
"530",0,0,0,8,206,0,0,0,0
"531",38,0,0,0,0,102,0,0,0
"532",2,0,0,0,19,0,0,0,0
"533",38,0,3,0,0,1,0,0,0
"534",38,0,3,2,19,0,0,0,0
"535",2,0,871,8,19,0,0,0,0
"536",0,0,0,7,6,0,0,0,0
"537",38,4,0,0,6,1,0,0,0
"538",347,0,0,7,6,0,0,0,0
"539",38,699,0,0,1,0,0,0,0
"540",347,0,3,7,19,0,0,0,0
"541",1,0,0,0,0,102,0,0,0
"542",1,4,0,8,19,0,0,0,0
"543",0,0,0,8,2,168,0,0,0
"544",0,0,871,8,1,0,0,0,0
"545",0,0,0,7,2,0,0,0,0
"546",0,0,0,7,0,0,0,0,0
"547",2,699,0,7,1,102,0,0,0
"548",0,4,3,0,19,0,0,0,0
"549",2,0,0,0,2,0,0,0,0
"550",2,0,3,2,6,0,0,0,0
"551",0,4,0,8,1,0,0,0,0
"552",0,0,0,140,2,102,0,0,0
"553",1,0,3,0,0,0,0,0,0
"554",2,0,0,140,2,0,0,0,0
"555",347,0,0,8,0,102,1,0,0
"556",2,0,0,0,19,0,0,0,0
"557",347,0,871,8,6,0,1,0,0
"558",0,0,0,140,0,0,0,0,0
"559",2,0,0,143,19,0,0,0,0
"560",38,4,0,7,19,102,0,0,0
"561",0,0,0,8,19,0,0,0,0
"562",347,4,0,0,19,102,0,0,0
"563",2,4,871,2,2,0,0,0,0
"564",2,4,0,2,2,102,0,0,0
"565",0,0,0,2,2,102,0,0,0
"566",2,0,0,0,6,0,0,0,0
"567",38,0,0,2,0,168,0,0,0
"568",2,0,0,0,2,168,0,0,0
"569",347,0,3,2,2,102,0,0,0
"570",0,0,0,2,2,168,0,0,0
"571",2,699,0,8,0,0,0,0,0
"572",0,0,0,8,1,0,0,0,0
"573",38,0,0,8,0,0,0,0,0
"574",0,0,0,0,0,1,0,0,0
"575",38,0,0,8,19,0,0,0,0
"576",0,0,0,7,206,0,0,0,0
"577",0,0,3,8,2,1,0,0,0
"578",347,0,0,0,0,0,0,0,0
"579",0,0,3,0,2,0,0,0,0
"580",347,4,0,143,6,0,16,0,0
"581",0,0,0,2,1,0,0,0,0
"582",0,0,0,8,2,1,0,0,0
"583",0,0,0,2,1,0,0,0,0
"584",2,699,0,8,19,0,0,2,0
"585",1,0,3,7,0,0,0,0,0
"586",38,0,3,0,0,0,0,0,0
"587",0,699,3,0,1,0,0,0,0
"588",0,0,0,7,1,102,0,0,0
"589",2,0,0,8,19,1,0,0,0
"590",347,4,0,8,0,0,1,0,0
"591",1,4,3,0,19,1,0,0,0
"592",0,0,871,0,2,168,0,0,7
